mos_id,dms_id,c_lote_origen,c_lote_destino,f_movimiento
1467428,1,43122120156001,43223010001001,2023-01-03 21:30:00
1467430,1,43122120156001,43223010002001,2023-01-04 17:00:00
1467432,1,43122100066001,43123010001001,2023-01-03 12:00:00
1467434,1,43122100066001,43123010002001,2023-01-03 13:00:00
1467436,1,43122100066001,43123010003001,2023-01-03 17:00:00
1467438,1,30022110030001,43123010004001,2023-01-03 17:40:00
1467468,1,44022100029001,43120030144001,2023-01-03 14:00:00
1467471,1,31122050004001,43123010007001,2023-01-04 04:02:00
1467476,1,43121040312001,46222120005001,2023-01-04 10:00:00
1467477,1,43121040312001,30020050006001,2023-01-04 10:30:00
1467495,1,43122050183001,44622120022001,2023-01-06 03:30:00
1467495,1,44622120011001,44622120022001,2023-01-06 03:30:00
1467496,1,44622120022001,30023010001001,2023-01-06 03:40:00
1467498,1,43222120019001,43223010003001,2023-01-05 13:00:00
1467500,1,44022120013001,43223010001001,2023-01-05 17:00:00
1467500,1,30022120016001,43223010001001,2023-01-05 17:00:00
1467502,1,44622120011001,43123010011001,2023-01-06 07:00:00
1467504,1,44622120011001,43123010012001,2023-01-06 07:01:00
1467506,1,46222120001001,43323010002001,2023-01-06 04:00:00
1467507,1,31122110001001,43322120032001,2023-01-06 04:10:00
1467509,1,44622120011001,43123010014001,2023-01-06 07:05:00
1467511,1,44622120011001,43123010014001,2023-01-06 07:10:00
1467517,1,31122110001001,43323010004001,2023-01-06 04:00:00
1467519,1,30022120019001,44622100037001,2023-01-06 03:30:00
1467520,1,30022120019001,30022120018001,2023-01-06 04:00:00
1467522,1,43222120041001,43223010004001,2023-01-06 17:00:00
1467525,1,44022120013001,43223010001001,2023-01-06 18:00:00
1467525,1,30022120016001,43223010001001,2023-01-06 18:00:00
1467540,1,43222120041001,43223010005001,2023-01-06 03:00:00
1467541,1,43222120041001,30020050006001,2023-01-06 19:00:00
1467549,1,44622110010001,30022100046001,2023-01-06 12:30:00
1467551,1,30022120037001,43123010027001,2023-01-06 22:00:00
1467551,1,30022120041001,43123010027001,2023-01-06 22:00:00
1467553,1,43322120032001,30020050059001,2023-01-06 23:00:00
1467571,1,46222120001001,43323010005001,2023-01-09 04:00:00
1467572,1,31122110001001,43323010006001,2023-01-09 04:20:00
1467577,1,31122110001001,43323010007001,2023-01-09 08:00:00
1467579,1,44622120011001,43123010011001,2023-01-09 19:30:00
1467584,1,43122050183001,43523010006001,2023-01-09 22:00:00
1467584,1,31122100001001,43523010006001,2023-01-09 22:00:00
1467586,1,43122050183001,43523010007001,2023-01-10 01:00:00
1467586,1,31122100001001,43523010007001,2023-01-10 01:00:00
1467593,1,30021040041001,30022020025001,2023-01-10 02:21:00
1467595,1,43222120042001,43223010008001,2023-01-10 18:00:00
1467601,1,44023010001001,44023010002001,2023-01-10 13:30:00
1467603,1,43322120019001,43323010008001,2023-01-11 13:30:00
1467620,1,43523010006001,43223010009001,2023-01-11 20:30:00
1467622,1,43523010007001,43223010010001,2023-01-11 16:00:00
1467629,1,31122110001001,43323010009001,2023-01-11 16:00:00
1467634,1,44622120011001,30023010001001,2023-01-11 11:10:00
1467636,1,44022100029001,44020080010001,2023-01-11 16:00:00
1467643,1,43122050183001,43523010011001,2023-01-12 02:40:00
1467643,1,31122100001001,43523010011001,2023-01-12 02:40:00
1467645,1,43122050183001,43523010012001,2023-01-11 23:10:00
1467645,1,31122100001001,43523010012001,2023-01-11 23:10:00
1467649,1,43322040044001,43223010013001,2023-01-12 02:00:00
1467650,1,43223010013001,43223010014001,2023-01-12 20:00:00
